ID,Priorité,Domaine,Problème,Emplacement,Recommandation,Impact,Effort,Risque,Confiance,Type,Statut
"CONFIA-01","P1","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Autorité du créateur-soignant: le levier le plus fort, le plus sous-exploité","locales/fr/home.json:211 (byline unique) rendu en src/templates/home.html:1009 (<p class=muted>, bas de page); fiche App Store développeur 'TONY KEVIN DOMINEAUX'","Exploiter honnêtement le créateur-soignant: bloc 'Pourquoi DROPP' ou micro-page 'À propos' (profession, contexte terrain, prénom). Relayer le cadre soignant en 1re ligne de description App Store (le nom légal ne change pas, la description si).","important","<2h","Ne rien inventer: n'affirmer que des faits réels sur le créateur, sinon retour de bâton sur l'authenticité qui est la valeur du produit.","élevé","decision-strategique","à faire"
"CONFIA-02","P1","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Preuve externe/sociale absente sur toute la chaîne","Ensemble du site (aucune section témoignage/avis dans src/templates/home.html) + fiche App Store (recon §5: 0 avis / 0 note)","Construire la preuve sociale éthiquement par étapes: (1) prompt d'avis in-app (SKStoreReviewController) déclenché APRÈS une perfusion suivie avec succès, jamais avant valeur reçue; (2) 2-4 verbatims de soignants testeurs avec attribution métier; (3) viser les IFSI/étudiants infirmiers comme premier bouche-à-oreille. Ne jamais fabriquer d'avis.","important","<1sem","Tout avis fabriqué détruirait la crédibilité; un prompt d'avis mal placé (avant valeur) génère des notes basses.","élevé","experimentation","à faire"
"CONFIA-03","P1","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Méthode de calcul non exposée: le 'pourquoi c'est juste' manque","Section Calculez (home.json:61-65), démo (home.json:33-49), FAQ facteurs (home.json:198-199) — aucun bloc formule/validation","Ajouter un bloc dépliable 'Comment DROPP calcule': formule explicite, rôle du facteur de goutte, règle d'arrondi, bornes du garde-fou de plausibilité. Transparence = autorité; différencie d'un calculateur boîte noire.","modéré","<2h","Ne pas alourdir le hero; garder en bloc dépliable. Vérifier que la formule affichée correspond exactement à l'implémentation de l'app.","moyen","optimisation","à faire"
"CONFIA-04","P1","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Conditions d'abonnement absentes du site: risque juridique et de confiance","Site entier (recon §7: pas de CGV/CGU dédiées, pas de mentions renouvellement auto/résiliation/rétractation); seule trace support.json:9","Publier une page 'Abonnement & conditions' (ou compléter les tarifs): renouvellement auto, prix, essai, résiliation via App Store, rétractation. Lier depuis Tarifs + footer. Faire valider par un juriste (agent juridique de l'audit).","important","<1j","Formulation exacte à faire valider juridiquement; hors périmètre de cet audit de trancher le droit applicable.","élevé","verification-juridique","à faire"
"CONFIA-05","P2","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","'Éprouvé sur le terrain': claim non substantié vs identité 'sans surpromesse'","locales/fr/home.json:211 (byline closing)","Soit substantier (rattacher à des verbatims/tests réels dès qu'ils existent), soit adoucir vers une formulation factuelle non prouvable-fausse. Ne pas laisser une promesse de validation sans validation.","faible","<30min","Adoucir affaiblit légèrement le punch émotionnel; compensé par la crédibilité gagnée.","moyen","correction","à faire"
"CONFIA-06","P2","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Fiche App Store: langue déclarée 'Anglais' alors que l'app est en français","Fiche App Store (recon §5: langue déclarée Anglais, UI 100% FR, binaire non localisé)","Aligner la langue déclarée sur la réalité (Français) tant que l'app n'est pas localisée EN (localisation EN prévue v1.1). Corriger dès la prochaine soumission de métadonnées.","modéré","<30min","Aucun; correction purement bénéfique.","élevé","correction","à faire"
"CONFIA-07","P2","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Nom développeur affiché froid et sans cadre soignant","Fiche App Store — développeur 'TONY KEVIN DOMINEAUX' (recon §5)","Compenser via 1re ligne de description et sous-titre ('Conçu par un infirmier...'); explorer un nom d'affichage éditeur 'Dropp' si les options App Store Connect pour une EI le permettent.","faible","<30min","Options de nom d'affichage limitées pour une entreprise individuelle; à vérifier dans App Store Connect.","moyen","optimisation","à faire"
"CONFIA-08","P3","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Perception 'développeur solo / entreprise individuelle' à compenser","Mentions légales legal.json:6 ('entreprise individuelle', 'Entrepreneur individuel')","Transformer en force ('fait par un soignant indépendant, sans investisseur, sans pub, sans revente de données') et ajouter un engagement de support/réponse (délai indicatif) sur la page Assistance.","faible","<30min","Ne promettre un délai de réponse que s'il est réellement tenable, sinon effet inverse.","faible","optimisation","à faire"
"CONFIA-09","P3","Confiance perçue & crédibilité (site dropp.care + fiche App Store)","Confiance clinique uniquement défensive: équilibrer limites + méthode","home.json:188, FAQ a6 home.json:203, legal.json:16","Conserver le disclaimer et lui adosser le bloc 'Comment DROPP calcule' pour une confiance clinique à la fois humble et rigoureuse; placer les deux à proximité.","faible","<30min","Redondant avec le finding méthode si traité isolément; à faire en même temps.","moyen","optimisation","à faire"
"OFFRE-01","P1","Offre / Pricing / Abonnement (freemium Dropp)","Prix en euros figés dans les 14 langues (mismatch international)","locales/{en,ja,de,pt-br,…}/home.json → pricing.priceYear/priceMonth/priceLifetime","Hors zone euro, ne pas afficher un montant € brut. Option sûre sur un site statique : supprimer les chiffres absolus sur les locales non-euro et pointer vers l'App Store pour le prix local ; sinon étiqueter explicitement « prix zone euro, prix local affiché par l'App Store ».","modéré","<1j","Perte du repère chiffré sur certaines langues ; à compenser par un CTA clair « Voir le prix dans l'App Store ».","élevé","correction","à faire"
"OFFRE-02","P1","Offre / Pricing / Abonnement (freemium Dropp)","Présentation des prix trop dense, annuel et essai non valorisés","src/templates/home.html:961 (div.prices) + CSS .tier .prices home.html:458","Passer à un bloc 3 lignes, annuel en tête signalé « meilleure valeur » avec équivalence mensuelle et break-even du à vie ; faire du « 7 jours d'essai » le verbe du CTA Pro.","modéré","<1j","Ajouter des chiffres comparatifs alourdit visuellement si mal maquetté ; garder la sobriété (une ligne par plan).","moyen","optimisation","à faire"
"OFFRE-03","P2","Offre / Pricing / Abonnement (freemium Dropp)","Distinction « iPhone gratuit / Apple Watch Pro » restée implicite","home.html:722-820 (5 sections Pro) + pricing.proItem1 + faq.a3","Énoncer la frontière : une ligne explicite sous le titre Tarifs + une FAQ dédiée « Combien coûte Pro et que débloque-t-il ? ». Nommer la frontière valorise le Pro au lieu de la subir.","modéré","<2h","Faible ; rendre le mur explicite peut légèrement refroidir un prospect Watch, compensé par la baisse de déception post-install.","moyen","correction","à faire"
"OFFRE-04","P2","Offre / Pricing / Abonnement (freemium Dropp)","Aucune mention d'abonnement près du prix (renouvellement, résiliation, essai, EULA)","Section Tarifs home.html:946-979 ; pages légales confidentialite.html / mentions-legales.html","Ajouter sous les prix une note « À propos de l'abonnement » (renouvellement auto, résiliation à tout moment dans les réglages Apple, facturation après l'essai) + lien EULA. À coordonner avec l'agent juridique.","important","<2h","Texte légal mal calibré peut alourdir ; à faire valider par le juriste avant publication.","élevé","verification-juridique","à faire"
"OFFRE-05","P3","Offre / Pricing / Abonnement (freemium Dropp)","Le tarif Pro est présenté avant le Gratuit (tension avec le discours)","home.html:949-974 (carte tier pro en premier enfant) + CSS home.html:451-454","Mettre Gratuit à gauche / en premier, garder la bordure ambre pour signaler le Pro ; le récit et la lecture coïncident.","faible","<30min","Quasi nul ; simple réordonnancement DOM.","faible","optimisation","à faire"
"OFFRE-06","P3","Offre / Pricing / Abonnement (freemium Dropp)","Aucune porte d'entrée « établissement / école » pour les formateurs","Offre globale (IAP individuel App Store uniquement)","Ne rien changer au lancement ; garder en backlog une piste B2B/éducation (Apple Volume Purchase ou page « Pour les écoles ») traitée comme un canal, pas comme une remise.","faible",">1sem","Distraction si mené trop tôt ; à ne pas prioriser avant traction du modèle individuel.","faible","decision-strategique","à faire"
"FICHE-01","P0","Fiche App Store FR & ASO","Langue déclarée 'Anglais' alors que l'app est 100% française","Fiche App Store live (bloc Langues) ; app dropp-native (SwiftUI FR codé en dur, recon §6)","Dans App Store Connect, déclarer la localisation réelle = Français (ajouter FR, retirer EN tant que le binaire EN n'existe pas). Ne déclarer EN qu'une fois le binaire EN livré (v1.1).","critique","<30min","Aucun — correction déclarative alignée sur la réalité du binaire.","élevé","correction","à faire"
"FICHE-02","P1","Fiche App Store FR & ASO","Le champ NOM est sous-exploité (5/30 caractères)","Nom fiche live = 'Dropp'","Passer à 'Dropp — Débit de perfusion' (26 car.) pour capter 'débit' ET 'perfusion' dans le champ le plus fort. Préférer 'débit' à 'rythme' (proposé dans le brouillon L10) car c'est le terme réellement tapé par les IDE.","important","<30min","Changement de nom peut demander une revalidation Apple ; marque reste en tête donc pas de perte d'identité.","élevé","optimisation","à faire"
"FICHE-03","P1","Fiche App Store FR & ASO","Zéro avis, aucune stratégie d'amorçage de preuve sociale","Fiche live : 'pas assez de notes', 0 avis (recon §5)","(a) Intégrer requestReview/SKStoreReviewController après un moment de valeur (ex. 3e perfusion menée à terme), jamais au lancement ni derrière le paywall ; (b) amorçage manuel via 10-15 testeurs TestFlight IDE/ESI au jour du lancement ; (c) jamais d'incitation par récompense (interdit Apple).","important","<1j","Prompt mal placé = agacement ; respecter le timing 'moment de valeur' pour l'éviter.","élevé","experimentation","à faire"
"FICHE-04","P1","Fiche App Store FR & ASO","Ordre et texte des captures à optimiser (bénéfice avant fonctionnalité)","Captures fiche live ; brouillon L141-143","1re capture = scène liquide qui bat + gros '42 gtt/min' + légende bénéfice. Ordre : Rythme > Calcul > Alarme de fin > Apple Watch > Perfusions simultanées > Confiance. Chaque capture porte une légende courte incrustée, jamais l'écran nu. Heure 9:41, batterie pleine.","important","<1sem","Refonte visuelle des captures ; ne pas surcharger de texte.","moyen","optimisation","à faire"
"FICHE-05","P2","Fiche App Store FR & ASO","Sous-titre 'Rythme de perfusion' abstrait et redondant","Sous-titre fiche live 'Rythme de perfusion' (19 car.)","Sous-titre = 'Calcul gouttes/min & tempo' (26 car.) ou 'Gouttes/min, calcul & alarme' (28 car.). Éviter de re-mettre 'perfusion' (déjà dans le nom).","modéré","<30min","Aucun significatif ; tester A/B après indexation.","moyen","optimisation","à faire"
"FICHE-06","P2","Fiche App Store FR & ASO","Nom développeur affiché 'TONY KEVIN DOMINEAUX' (capitales, nom légal)","Fiche live, champ développeur (recon §5)","Renseigner un nom d'affichage propre dans ASC ('Dropp' ou 'Tony Domineaux'). Le nom légal reste privé côté Apple ; l'affiché est éditable et cohérent avec l'entreprise individuelle 'Dropp'.","modéré","<30min","Peut nécessiter validation Apple du nom d'affichage.","élevé","correction","à faire"
"FICHE-07","P2","Fiche App Store FR & ASO","La metadata travaillée (nom/sous-titre/promo) n'est pas déployée sur la fiche live","dropp-native/docs/appstore-metadata.md L10-24 vs fiche live","Déployer la metadata affinée (nom P1, sous-titre P2, description L28-84, champ mots-clés L88) dans ASC ; garder la promo live actuelle plutôt que celle du brouillon.","modéré","<30min","Aucun — synchronisation fiche/repo.","élevé","correction","à faire"
"FICHE-08","P2","Fiche App Store FR & ASO","Champ 'Nouveautés' vide","Fiche live, section Nouveautés absente (recon §5)","Renseigner le texte L93 dès la version publique et le mettre à jour à chaque release.","faible","<30min","Aucun.","élevé","correction","à faire"
"FICHE-09","P3","Fiche App Store FR & ASO","Champ mots-clés : confirmer la saisie et réallouer après changement de nom","Brouillon L88-89 (champ 98/100 car.)","Confirmer la saisie dans ASC ; réallouer les mots doublonnés vers 'ml/h', 'perfuseur', 'hôpital', 'étudiant'. Ne jamais mettre 'dose'/'posologie'.","faible","<30min","Aucun ; garde-fou réglementaire à maintenir.","moyen","optimisation","à faire"
"FICHE-10","P3","Fiche App Store FR & ASO","App non indexée dans la recherche 'Dropp'","Recon §5 [HYP]","Pas d'action directe ; les correctifs P0-P1 accélèrent l'indexation. Suivre la position sur 'débit perfusion', 'gouttes minute', 'calcul perfusion' après 2-3 semaines.","faible","<30min","Aucun.","moyen","experimentation","à faire"
"SEO-01","P1","SEO technique, performance & qualité technique du site dropp.care","title et H1 ne contiennent aucun mot-clé cible (marque/émotion seulement)","locales/fr/home.json meta.title + home.html:535 (H1 = ""Dropp""), buildé dans fr/index.html","Garder l'identité de marque mais injecter le mot-clé en tête/queue de title et enrichir le H1 d'une phrase descriptive. Le wordmark géant peut rester le rendu visuel, le <h1> sémantique portant les mots-clés (garder la classe .hs-title ciblée par le scrollytelling JS).","important","<2h","Faible ; ne pas casser le scrollytelling qui cible .hs-title en JS — changer le texte, garder la classe.","élevé","correction","à faire"
"SEO-02","P1","SEO technique, performance & qualité technique du site dropp.care","Aucune architecture de contenu : mono-page x14 langues, rien ne cible les requêtes informationnelles","src/site.config.json:8-13 (4 pages : home/privacy/support/legal)","Créer un petit arbre de pages-outils + guides, une par intention, chacune : outil interactif réel (réutiliser le moteur de calcul existant) + contexte pédagogique court (formule, tableau facteurs 10/15/20/60) + CTA App Store. Décliner via le pipeline i18n existant.","important","<1sem","Faible : pages neuves isolées ; canonical/hreflang auto-gérés par le build. Commencer par calculateur FR+EN, mesurer, étendre.","moyen","decision-strategique","à faire"
"SEO-03","P2","SEO technique, performance & qualité technique du site dropp.care","FAQ (7 Q) non balisée en FAQPage JSON-LD","home.html:992-998","Générer un bloc FAQPage JSON-LD à partir des clés locale home.faq.q*/a*, injecté dans le <head>, via une fonction analogue au JSON-LD existant (home.html:27-29).","modéré","<2h","Faible (additif).","élevé","optimisation","à faire"
"SEO-04","P2","SEO technique, performance & qualité technique du site dropp.care","Vidéo film tente une lecture auto AVEC son + pas de dimensions (risque CLS)","home.html:922-929 (enter: v.muted=false;v.play()) ; home.html:907 (<video> sans width/height) ; home.html:512 (.film sans aspect-ratio)","Démarrer muet par défaut (ne dé-muter que sur clic du bouton Son déjà câblé) et fixer l'aspect via aspect-ratio ou width/height alignés sur le poster.","modéré","<30min","Faible ; vérifier que sync() reflète l'état muet initial.","élevé","correction","à faire"
"SEO-05","P2","SEO technique, performance & qualité technique du site dropp.care","Titres de section (H2) poétiques, sans valeur de requête","home.html (ex. film.title, watch.title « Tout, sans sortir l'iPhone »), 16 h2/h3 au total","Garder le ton premium mais glisser le vocabulaire métier dans 2-3 H2 clés (démo, gestes, tarifs) sans sur-optimiser.","modéré","<2h","Faible ; conserver la longueur pour text-wrap:balance.","moyen","optimisation","à faire"
"SEO-06","P2","SEO technique, performance & qualité technique du site dropp.care","JSON-LD MobileApplication minimal (offers seul, pas de featureList)","home.html:28","Enrichir avec featureList et lien App Store (installUrl/sameAs). Laisser aggregateRating absent jusqu'à obtention d'avis réels.","faible","<30min","Faible.","moyen","optimisation","à faire"
"SEO-07","P3","SEO technique, performance & qualité technique du site dropp.care","CSS/JS inline dupliqués sur 14 langues, non cachables","home.html (≈84Ko tout inline) ; build.js inlinePartials → chaque /{locale}/index.html embarque le même CSS+JS","À n'envisager QUE si l'analytics futur montre de la navigation inter-langues/multi-pages : extraire dropp.css + dropp.js cachables. Sinon statu quo recommandé.","faible","<1j","Modéré : casse potentielle du timing d'exécution JS / de l'inline sans CSP.","moyen","optimisation","à faire"
